0,1,Raków,74
1,2,Legia,63
2,3,Lech,58
3,4,Pogoń,57
4,5,Piast,50
5,6,Górnik,47
6,7,Warta,45
7,8,Radomiak,44
8,9,Zagłębie,44
9,10,Cracovia,43
10,11,Widzew,41
11,12,Jagiellonia,41
12,13,Stal,40
13,14,Korona,38
14,15,Śląsk,38
15,16,Wisła,37
16,17,Lechia,30
17,18,Miedź,22
