2015/2016,10.81,10.65,8.02,4201.37,13.55,2489.86,6.22
2016/2017,12.68,8.92,11.28,5226.91,14.69,3120.85,6.13
2017/2018,11.00,7.84,8.58,5097.70,10.23,2325.39,2.45
2018/2019,11.38,6.66,11.63,5531.65,9.48,2011.74,2.56
2019/2020,11.11,11.62,9.75,5027.71,10.40,1933.05,6.98
2020/2021,10.45,5.55,9.86,4350.18,10.03,1424.45,2.56
2021/2022,13.15,10.31,10.66,5489.81,11.27,1278.29,3.07
