0,1,0,Raków,53,-21,62,23
1,2,1,Lech,50,-8,49,29
2,3,-1,Legia,49,-14,54,36
3,4,1,Piast,48,-2,37,31
4,5,2,Warta,47,2,37,34
5,6,4,Cracovia,47,4,38,35
6,7,-1,Górnik,47,0,45,43
7,8,-4,Pogoń,47,-10,53,46
8,9,-1,Radomiak,46,2,34,37
9,10,2,Jagiellonia,46,5,48,47
10,11,2,Stal,46,6,35,40
11,12,-3,Zagłębie,45,1,34,43
12,13,-2,Widzew,45,4,38,44
13,14,1,Śląsk,45,7,34,45
14,15,1,Wisła,45,8,41,47
15,16,-2,Korona,44,6,36,48
16,17,1,Miedź,43,21,33,55
17,18,-1,Lechia,42,12,28,53
